,Date,Country,Province,Confirmed,Infected,Deaths,Recovered
0,2020-01-22,China,Anhui,1,1,0,0
1,2020-01-22,China,Beijing,14,14,0,0
2,2020-01-22,China,Chongqing,6,6,0,0
3,2020-01-22,China,Fujian,1,1,0,0
4,2020-01-22,China,Gansu,0,0,0,0
5,2020-01-22,China,Guangdong,26,26,0,0
6,2020-01-22,China,Guangxi,2,2,0,0
7,2020-01-22,China,Guizhou,1,1,0,0
8,2020-01-22,China,Hainan,4,4,0,0
9,2020-01-22,China,Hebei,1,1,0,0
10,2020-01-22,China,Heilongjiang,0,0,0,0
11,2020-01-22,China,Henan,5,5,0,0
12,2020-01-22,Hong Kong,Hong Kong,0,0,0,0
13,2020-01-22,China,Hubei,444,399,17,28
14,2020-01-22,China,Hunan,4,4,0,0
15,2020-01-22,China,Inner Mongolia,0,0,0,0
16,2020-01-22,China,Jiangsu,1,1,0,0
17,2020-01-22,China,Jiangxi,2,2,0,0
18,2020-01-22,China,Jilin,0,0,0,0
19,2020-01-22,China,Liaoning,2,2,0,0
20,2020-01-22,Macau,Macau,1,1,0,0
21,2020-01-22,China,Ningxia,1,1,0,0
22,2020-01-22,China,Qinghai,0,0,0,0
23,2020-01-22,China,Shaanxi,0,0,0,0
24,2020-01-22,China,Shandong,2,2,0,0
25,2020-01-22,China,Shanghai,9,9,0,0
26,2020-01-22,China,Shanxi,1,1,0,0
27,2020-01-22,China,Sichuan,5,5,0,0
28,2020-01-22,Taiwan,Taiwan,1,1,0,0
29,2020-01-22,China,Tianjin,4,4,0,0
30,2020-01-22,China,Tibet,0,0,0,0
31,2020-01-22,US,Washington,1,1,0,0
32,2020-01-22,China,Xinjiang,0,0,0,0
33,2020-01-22,China,Yunnan,1,1,0,0
34,2020-01-22,China,Zhejiang,10,10,0,0
35,2020-01-22,Japan,-,2,2,0,0
36,2020-01-22,Thailand,-,2,2,0,0
37,2020-01-22,South Korea,-,1,1,0,0
38,2020-01-23,China,Anhui,9,9,0,0
39,2020-01-23,China,Beijing,22,22,0,0
40,2020-01-23,China,Chongqing,9,9,0,0
41,2020-01-23,China,Fujian,5,5,0,0
42,2020-01-23,China,Gansu,2,2,0,0
43,2020-01-23,China,Guangdong,32,30,0,2
44,2020-01-23,China,Guangxi,5,5,0,0
45,2020-01-23,China,Guizhou,3,3,0,0
46,2020-01-23,China,Hainan,5,5,0,0
47,2020-01-23,China,Hebei,1,0,1,0
48,2020-01-23,China,Heilongjiang,2,2,0,0
49,2020-01-23,China,Henan,5,5,0,0
50,2020-01-23,Hong Kong,Hong Kong,2,2,0,0
51,2020-01-23,China,Hubei,444,399,17,28
52,2020-01-23,China,Hunan,9,9,0,0
53,2020-01-23,China,Inner Mongolia,0,0,0,0
54,2020-01-23,China,Jiangsu,5,5,0,0
55,2020-01-23,China,Jiangxi,7,7,0,0
56,2020-01-23,China,Jilin,1,1,0,0
57,2020-01-23,China,Liaoning,3,3,0,0
58,2020-01-23,Macau,Macau,2,2,0,0
59,2020-01-23,China,Ningxia,1,1,0,0
60,2020-01-23,China,Qinghai,0,0,0,0
61,2020-01-23,China,Shaanxi,3,3,0,0
62,2020-01-23,China,Shandong,6,6,0,0
63,2020-01-23,China,Shanghai,16,16,0,0
64,2020-01-23,China,Shanxi,1,1,0,0
65,2020-01-23,China,Sichuan,8,8,0,0
66,2020-01-23,Taiwan,Taiwan,1,1,0,0
67,2020-01-23,China,Tianjin,4,4,0,0
68,2020-01-23,China,Tibet,0,0,0,0
69,2020-01-23,US,Washington,1,1,0,0
70,2020-01-23,China,Xinjiang,2,2,0,0
71,2020-01-23,China,Yunnan,2,2,0,0
72,2020-01-23,China,Zhejiang,27,27,0,0
73,2020-01-23,Japan,-,1,1,0,0
74,2020-01-23,Thailand,-,3,3,0,0
75,2020-01-23,South Korea,-,1,1,0,0
76,2020-01-23,Singapore,-,1,1,0,0
77,2020-01-23,Philippines,-,0,0,0,0
78,2020-01-23,Malaysia,-,0,0,0,0
79,2020-01-23,Vietnam,-,2,2,0,0
80,2020-01-23,Australia,-,0,0,0,0
81,2020-01-23,Mexico,-,0,0,0,0
82,2020-01-23,Brazil,-,0,0,0,0
83,2020-01-23,Colombia,-,0,0,0,0
84,2020-01-24,China,Hubei,549,494,24,31
85,2020-01-24,China,Guangdong,53,51,0,2
86,2020-01-24,China,Zhejiang,43,42,0,1
87,2020-01-24,China,Beijing,36,35,0,1
88,2020-01-24,China,Chongqing,27,27,0,0
89,2020-01-24,China,Hunan,24,24,0,0
90,2020-01-24,China,Guangxi,23,23,0,0
91,2020-01-24,China,Shanghai,20,19,0,1
92,2020-01-24,China,Jiangxi,18,18,0,0
93,2020-01-24,China,Sichuan,15,15,0,0
94,2020-01-24,China,Shandong,15,15,0,0
95,2020-01-24,China,Anhui,15,15,0,0
96,2020-01-24,China,Fujian,10,10,0,0
97,2020-01-24,China,Henan,9,9,0,0
98,2020-01-24,China,Jiangsu,9,9,0,0
99,2020-01-24,China,Hainan,8,8,0,0
100,2020-01-24,China,Tianjin,8,8,0,0
101,2020-01-24,China,Yunnan,5,5,0,0
102,2020-01-24,China,Shaanxi,5,5,0,0
